dataset,nodes,features,classes,directed,emb_features,n_heads,max_nodes,init_lr,train_frac,epochs,edge_h,aff_h,min_beta,max_beta,metric_name,metric_value,metric_std,auc_value,auc_std,noise_std,noise_drop,elapsed,seed
Actor,7600,932,5,False,233,4,4000,0.0100,0.8000,2000,0.2200,0.3399,7.6951,8.1931,Hits@100,0.5821,0.0574,0.8969,0.0106,0.0500,0.0500,402.2000,13
Actor,7600,932,5,False,233,4,4000,0.0100,0.8000,2000,0.2200,0.3120,7.4565,7.9234,Hits@100,0.6742,0.0455,0.9098,0.0062,0.1000,0.0500,401.8000,13
Actor,7600,932,5,False,233,4,4000,0.0100,0.8000,2000,0.2200,0.3076,7.3915,7.8913,Hits@100,0.6918,0.0486,0.9139,0.0070,0.2000,0.0500,403.6000,13
Amazon-ratings,24492,300,5,False,128,4,4000,0.0002,0.8000,2000,0.3800,0.4652,1.3058,1.3129,Hits@100,0.8462,0.0141,0.9118,0.0071,0.0500,0.0500,236.4000,13
Amazon-ratings,24492,300,5,False,128,4,4000,0.0002,0.8000,2000,0.3800,0.4653,1.3057,1.3131,Hits@100,0.8442,0.0124,0.9106,0.0058,0.1000,0.0500,332.8000,13
Amazon-ratings,24492,300,5,False,128,4,4000,0.0002,0.8000,2000,0.3800,0.4657,1.3056,1.3132,Hits@100,0.8464,0.0121,0.9108,0.0061,0.2000,0.0500,332.4000,13
Chameleon,2277,2325,5,False,581,4,2277,0.0100,0.8000,1000,0.2300,0.4736,5.0667,5.0918,Hits@100,0.2703,0.0171,0.9808,0.0010,0.0500,0.0500,60.2000,13
Chameleon,2277,2325,5,False,581,4,2277,0.0100,0.8000,1000,0.2300,0.4722,5.0637,5.1002,Hits@100,0.2702,0.0052,0.9808,0.0012,0.1000,0.0500,54.2000,13
Chameleon,2277,2325,5,False,581,4,2277,0.0100,0.8000,1000,0.2300,0.4738,5.0684,5.1123,Hits@100,0.2751,0.0176,0.9810,0.0010,0.2000,0.0500,54.2000,13
CiteSeer,3327,3703,6,False,925,4,3327,0.0020,0.8000,2000,0.7400,0.6136,3.3076,3.3137,Hits@100,0.9198,0.0034,0.9592,0.0015,0.0000,0.0000,341.8000,13
CiteSeer,3327,3703,6,False,925,4,3327,0.0020,0.8000,2000,0.7400,0.5277,3.3214,3.3269,Hits@100,0.9136,0.0073,0.9565,0.0034,0.0500,0.0500,344.4000,13
CiteSeer,3327,3703,6,False,925,4,3327,0.0020,0.8000,2000,0.7400,0.5263,3.3199,3.3272,Hits@100,0.9139,0.0081,0.9562,0.0041,0.1000,0.0500,347.2000,13
CiteSeer,3327,3703,6,False,925,4,3327,0.0020,0.8000,2000,0.7400,0.5267,3.3204,3.3283,Hits@100,0.9137,0.0073,0.9565,0.0036,0.2000,0.0500,349.4000,13
Cora,2708,1433,7,False,358,4,2708,0.0020,0.8000,2000,0.8100,0.6348,3.5027,3.5129,Hits@100,0.9124,0.0059,0.9711,0.0024,0.0000,0.0000,156.0000,13
Cora,2708,1433,7,False,358,4,2708,0.0020,0.8000,2000,0.8100,0.5133,3.4285,3.4508,Hits@100,0.8995,0.0042,0.9595,0.0016,0.0500,0.0500,154.6000,13
Cora,2708,1433,7,False,358,4,2708,0.0020,0.8000,2000,0.8100,0.4731,3.4301,3.4631,Hits@100,0.9001,0.0072,0.9595,0.0019,0.1000,0.0500,117.4000,13
Cora,2708,1433,7,False,358,4,2708,0.0020,0.8000,2000,0.8100,0.4613,3.4446,3.4567,Hits@100,0.9014,0.0116,0.9590,0.0028,0.2000,0.0500,117.2000,13
Cornell,183,1703,5,False,425,4,183,0.0020,0.8000,2000,0.3000,0.3099,3.4586,3.5441,Hits@100,0.9856,0.0135,0.9332,0.0194,0.0000,0.0000,47.6000,13
Cornell,183,1703,5,False,425,4,183,0.0020,0.8000,2000,0.3000,0.3925,3.3104,3.4314,Hits@100,0.9892,0.0088,0.9268,0.0153,0.0500,0.0500,48.0000,13
Cornell,183,1703,5,False,425,4,183,0.0020,0.8000,2000,0.3000,0.3566,3.3387,3.5412,Hits@100,0.9892,0.0144,0.9298,0.0186,0.1000,0.0500,47.0000,13
Cornell,183,1703,5,False,425,4,183,0.0020,0.8000,2000,0.3000,0.3310,3.3927,3.5288,Hits@100,0.9874,0.0135,0.9300,0.0164,0.2000,0.0500,45.8000,13
ogbl-citation2,2927963,128,0,False,128,4,4000,0.0001,0.8000,2000,0.0000,0.5073,1.1117,1.1171,MRR,0.9485,0.0329,0.9346,0.0389,0.0000,0.0000,441.4000,13
ogbl-citation2,2927963,128,0,False,128,4,4000,0.0001,0.8000,2000,0.0000,0.5069,1.1130,1.1167,MRR,0.9564,0.0276,0.9240,0.0447,0.0500,0.0500,468.6000,13
ogbl-citation2,2927963,128,0,False,128,4,4000,0.0001,0.8000,2000,0.0000,0.5065,1.1140,1.1170,MRR,0.9525,0.0252,0.9300,0.0376,0.1000,0.0500,468.4000,13
ogbl-citation2,2927963,128,0,False,128,4,4000,0.0001,0.8000,2000,0.0000,0.5064,1.1142,1.1173,MRR,0.9536,0.0168,0.9194,0.0216,0.2000,0.0500,468.6000,13
ogbl-collab,235868,128,0,False,80,4,4000,0.0010,0.8000,1000,0.0000,0.4680,1.3975,1.4631,Hits@50,0.9201,0.0249,0.9233,0.0168,0.0000,0.0000,220.8000,13
ogbl-collab,235868,128,0,False,80,4,4000,0.0010,0.8000,1000,0.0000,0.4480,1.3474,1.4281,Hits@50,0.8943,0.0206,0.9091,0.0210,0.0500,0.0500,217.2000,13
ogbl-collab,235868,128,0,False,80,4,4000,0.0010,0.8000,1000,0.0000,0.4435,1.3485,1.4183,Hits@50,0.8834,0.0327,0.8990,0.0227,0.1000,0.0500,227.0000,13
ogbl-collab,235868,128,0,False,80,4,4000,0.0010,0.8000,1000,0.0000,0.4412,1.3430,1.4163,Hits@50,0.9044,0.0311,0.9074,0.0231,0.2000,0.0500,217.6000,13
ogbl-ppa,576289,58,0,False,58,4,4000,0.0010,0.8000,1000,0.0000,0.5064,1.7265,1.7383,Hits@100,0.9307,0.0161,0.9516,0.0110,0.0000,0.0000,216.6000,13
ogbl-ppa,576289,58,0,False,58,4,4000,0.0010,0.8000,1000,0.0000,0.3927,1.6808,1.6907,Hits@100,0.9057,0.0183,0.9372,0.0148,0.0500,0.0500,220.0000,13
ogbl-ppa,576289,58,0,False,58,4,4000,0.0010,0.8000,1000,0.0000,0.3927,1.6808,1.6907,Hits@100,0.9057,0.0183,0.9372,0.0148,0.1000,0.0500,219.2000,13
ogbl-ppa,576289,58,0,False,58,4,4000,0.0010,0.8000,1000,0.0000,0.3927,1.6808,1.6907,Hits@100,0.9057,0.0183,0.9372,0.0148,0.2000,0.0500,216.8000,13
Photo,7650,745,8,False,186,4,4000,0.0020,0.8000,2000,0.8300,0.5682,3.0907,3.1158,Hits@100,0.2227,0.0118,0.8980,0.0026,0.0500,0.0500,538.2000,13
Photo,7650,745,8,False,186,4,4000,0.0020,0.8000,2000,0.8300,0.5638,3.0658,3.1152,Hits@100,0.2293,0.0055,0.9029,0.0012,0.1000,0.0500,534.2000,13
Photo,7650,745,8,False,186,4,4000,0.0020,0.8000,2000,0.8300,0.5654,3.0725,3.1189,Hits@100,0.2272,0.0218,0.9030,0.0019,0.2000,0.0500,535.4000,13
PubMed,19717,500,3,False,256,4,4000,0.0002,0.8000,2000,0.8000,0.5133,1.2972,1.2998,Hits@100,0.9330,0.0060,0.9661,0.0057,0.0000,0.0000,433.6000,13
PubMed,19717,500,3,False,256,4,4000,0.0002,0.8000,2000,0.8000,0.4475,1.2919,1.2995,Hits@100,0.8832,0.0164,0.9382,0.0083,0.0500,0.0500,440.4000,13
PubMed,19717,500,3,False,256,4,4000,0.0002,0.8000,2000,0.8000,0.4451,1.2911,1.2990,Hits@100,0.8738,0.0162,0.9349,0.0083,0.1000,0.0500,443.6000,13
PubMed,19717,500,3,False,256,4,4000,0.0002,0.8000,2000,0.8000,0.4441,1.2915,1.2992,Hits@100,0.8715,0.0135,0.9335,0.0118,0.2000,0.0500,443.2000,13
Questions,48921,301,2,False,128,4,4000,0.0010,0.8000,2000,0.8400,0.3299,2.1303,2.2015,Hits@100,0.9280,0.0153,0.9509,0.0053,0.0500,0.0500,389.8000,13
Questions,48921,301,2,False,128,4,4000,0.0010,0.8000,2000,0.8400,0.3343,2.1196,2.2080,Hits@100,0.9292,0.0101,0.9474,0.0042,0.1000,0.0500,388.8000,13
Questions,48921,301,2,False,128,4,4000,0.0010,0.8000,2000,0.8400,0.3369,2.1044,2.2047,Hits@100,0.9216,0.0143,0.9502,0.0046,0.2000,0.0500,392.2000,13
Roman-empire,22662,300,18,False,128,4,4000,0.0005,0.8000,2000,0.0500,0.3653,1.6869,1.7091,Hits@100,0.8655,0.0089,0.9077,0.0053,0.0500,0.0500,392.8000,13
Roman-empire,22662,300,18,False,128,4,4000,0.0005,0.8000,2000,0.0500,0.3657,1.6865,1.7086,Hits@100,0.8644,0.0079,0.9083,0.0045,0.1000,0.0500,392.8000,13
Roman-empire,22662,300,18,False,128,4,4000,0.0005,0.8000,2000,0.0500,0.3661,1.6868,1.7085,Hits@100,0.8666,0.0089,0.9072,0.0048,0.2000,0.0500,392.6000,13
Squirrel,5201,2089,5,False,300,4,3000,0.0010,0.8000,2000,0.2200,0.3674,2.1087,2.1292,Hits@100,0.1404,0.0231,0.9596,0.0009,0.0500,0.0500,175.6000,13
Squirrel,5201,2089,5,False,300,4,3000,0.0010,0.8000,2000,0.2200,0.3649,2.0904,2.1379,Hits@100,0.1484,0.0420,0.9602,0.0004,0.1000,0.0500,146.8000,13
Squirrel,5201,2089,5,False,300,4,3000,0.0010,0.8000,2000,0.2200,0.3592,2.0778,2.1354,Hits@100,0.1594,0.0386,0.9606,0.0006,0.2000,0.0500,144.2000,13
Texas,183,1703,5,False,425,4,183,0.0100,0.8000,2000,0.2100,0.1830,6.9320,8.2809,Hits@100,0.9857,0.0134,0.8949,0.0230,0.0000,0.0000,46.8000,13
Texas,183,1703,5,False,425,4,183,0.0100,0.8000,2000,0.2100,0.2422,7.5101,8.1126,Hits@100,0.9821,0.0080,0.8702,0.0191,0.0500,0.0500,47.0000,13
Texas,183,1703,5,False,425,4,183,0.0100,0.8000,2000,0.2100,0.2327,7.4342,8.2023,Hits@100,0.9857,0.0091,0.8621,0.0259,0.1000,0.0500,46.8000,13
Texas,183,1703,5,False,425,4,183,0.0100,0.8000,2000,0.2100,0.1958,7.3570,8.4050,Hits@100,0.9821,0.0056,0.8766,0.0162,0.2000,0.0500,47.0000,13
Wisconsin,251,1703,5,False,425,4,251,0.0100,0.8000,2000,0.1100,0.2890,6.9253,7.7998,Hits@100,0.9478,0.0147,0.9111,0.0100,0.0000,0.0000,48.8000,13
Wisconsin,251,1703,5,False,425,4,251,0.0100,0.8000,2000,0.1100,0.3844,6.6828,7.6606,Hits@100,0.9456,0.0170,0.9056,0.0065,0.0500,0.0500,46.0000,13
Wisconsin,251,1703,5,False,425,4,251,0.0100,0.8000,2000,0.1100,0.3579,5.7370,7.5246,Hits@100,0.9578,0.0156,0.9054,0.0107,0.1000,0.0500,46.0000,13
Wisconsin,251,1703,5,False,425,4,251,0.0100,0.8000,2000,0.1100,0.3084,6.6196,7.7039,Hits@100,0.9656,0.0042,0.9251,0.0102,0.2000,0.0500,46.6000,13
Actor,7600,932,5,False,233,4,4000,0.0100,0.8000,2000,0.2200,0.3058,7.4152,7.8861,Hits@100,0.5272,0.0225,0.8889,0.0053,0.0000,0.0000,406.6000,13
Questions,48921,301,2,False,128,4,4000,0.0001,0.8000,2000,0.8400,0.3863,1.1004,1.1049,Hits@100,0.9078,0.0132,0.9510,0.0110,0.0000,0.0000,163.4000,13
Squirrel,5201,2089,5,False,300,4,3000,0.0010,0.8000,2000,0.2200,0.3680,1.7956,1.9719,Hits@100,0.1406,0.0207,0.9452,0.0010,0.0000,0.0000,168.6000,13
Chameleon,2277,2325,5,False,581,4,2277,0.0100,0.8000,1000,0.2300,0.5012,4.1574,4.2194,Hits@100,0.3022,0.0170,0.9685,0.0013,0.0000,0.0000,67.6000,13
Photo,7650,745,8,False,186,4,4000,0.0020,0.8000,2000,0.8300,0.7720,3.2505,3.2874,Hits@100,0.2471,0.0269,0.9580,0.0019,0.0000,0.0000,434.6000,13
Amazon-ratings,24492,300,5,False,128,4,4000,0.0002,0.8000,2000,0.3800,0.5163,1.2164,1.2272,Hits@100,0.8540,0.0263,0.9176,0.0078,0.0000,0.0000,342.2000,13
Roman-empire,22662,300,18,False,128,4,4000,0.0005,0.8000,2000,0.0500,0.3723,1.6984,1.7116,Hits@100,0.8516,0.0248,0.8929,0.0165,0.0000,0.0000,395.6000,13
Texas,183,1703,5,False,425,4,183,0.0100,0.8000,2000,0.2100,0.2392,7.7884,8.1719,Hits@100,0.9857,0.0091,0.8692,0.0186,0.0500,0.0500,64.8000,13
